Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
1730667,9335-2022-00440,1,False,9335,3/10/2022 2:30:00 PM,1430,901,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,Yes,True,,,False,False,False,SAN FRANCISCO SUPERIOR COURT CIVIC CENTER COURTHOUSE,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,School Bus Collision,A,DAYLIGHT,37.796432,-122.410120,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,3/10/2022 2:30:00 PM,A,VC 21950(A),False,1,POWELL STREET,,,3/24/2022 12:00:00 AM,A,S,8,PACIFIC AVENUE,F,,A,3/24/2022 7:39:57 AM,3/24/2022 7:39:57 AM,True,False,4,,,,,,,
1741759,22-03571,1,False,4803,4/3/2022 2:00:00 AM,0200,CENTRA,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Sunday,NotApplicable,False,F,,False,False,False,SAN FRANCISCO,B,PEDESTRIAN,,1,0,CLEAR,,HOLES- DEEPRUT*,,Courtesy Report / Private Property,C,DARK-STREET LIGHTS,,,,,,,F,NOT IN ROAD,,B,Reckless Driving,False,1,PL 425 BROADWAY,,,4/5/2022 12:00:00 AM,A,,,NOT STATED,,,D,4/6/2022 2:03:04 AM,4/6/2022 2:03:04 AM,,,2,,,,,,,
1804199,9335-2022-01043,1,False,9335,6/5/2022 5:11:00 AM,0511,083,1227,3801,San Francisco,38,True,True,C,REAR END,,Sunday,Yes,False,,,False,True,True,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,C,OTHER MOTOR VEHICLE,,2,0,RAINING,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,37.801273,-122.374102,,,,,E,IN ROAD - INCLUDES SHOULDER,6/5/2022 5:11:00 AM,A,VC 23152(F),True,1,I-80 E/B,,,6/27/2022 12:00:00 AM,B,W,3606,TREASURE ISLAND ROAD,F,,D,6/27/2022 2:14:31 PM,6/27/2022 2:14:31 PM,False,True,4,,,,,,,
1876868,9335-2022-01795,1,False,9335,9/25/2022 6:43:00 AM,0643,080,1227,3801,San Francisco,38,True,True,E,HIT OBJECT,,Sunday,NotApplicable,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,I,FIXED OBJECT,CONCRETE WALL,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,B,DUSK-DAWN,37.778984,-122.400869,,,,,F,NOT IN ROAD,9/25/2022 6:43:00 AM,A,VC 22107,False,1,I80 E/B TO 5TH STREET,,,9/29/2022 12:00:00 AM,A,E,230,5TH ST,F,,D,9/29/2022 11:16:27 AM,9/29/2022 11:16:27 AM,False,True,4,,,,,,,
1964350,9335-2022-02547,1,False,9335,12/28/2022 10:25:00 PM,2225,081,1227,3801,San Francisco,38,True,True,C,REAR END,,Wednesday,Yes,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,C,OTHER MOTOR VEHICLE,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,37.786956,-122.396079,,,,,E,IN ROAD - INCLUDES SHOULDER,12/28/2022 10:25:00 PM,A,VC 22350,False,1,I-80 W/B FREMONT ST. OFF-RAMP,,,1/10/2023 8:59:01 AM,B,N,208,FOLSOM STREET UNDER-CROSSING,F,,A,1/10/2023 8:59:03 AM,1/10/2023 8:59:03 AM,False,True,4,True,12/28/2022 10:30:00 PM,2230,False,,,True
2598026,220313485,2,False,3801,5/13/2022 6:52:00 PM,1852,3D11D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,GUERRERO ST,MISSI,,,A,,,17TH ST,,,A,7/24/2024 4:46:09 PM,1/28/2025 3:35:49 PM,,,2,,,,,,,
2598010,220329551,2,False,3801,5/20/2022 10:00:00 AM,1000,3B5A,1227,3801,San Francisco,38,True,True,H,OTHER,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21453D,,1,BERRY ST,SOUTH,,,,,,4TH ST,,,A,7/24/2024 4:46:07 PM,1/28/2025 3:35:48 PM,,,2,,,,,,,
2598008,220323199,2,False,3801,5/17/2022 5:48:00 PM,1748,3A15D,1227,3801,San Francisco,38,True,True,,,,Tuesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22107,,1,BATTERY ST,CENTR,,,A,,,MARKET ST,,,A,7/24/2024 4:46:07 PM,1/28/2025 3:35:48 PM,,,2,,,,,,,
2598001,220321717,2,False,3801,5/17/2022 10:24:00 AM,1024,3G5A,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Tuesday,,,F,,False,False,True,,,,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,F,NOT IN ROAD,,A,21658,,1,FULTON ST,RICHM,,,A,E,30,35TH AV,F,,D,7/24/2024 4:46:07 PM,1/28/2025 3:35:48 PM,,,2,,,,,,,
2597995,220295413,2,False,3801,5/5/2022 11:04:00 PM,2304,3H15E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,2,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21954A,,1,MISSION ST,INGLE,,,A,,,PERSIA ST,,,A,7/24/2024 4:46:06 PM,1/28/2025 3:35:47 PM,,,3,,,,,,,
