Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
1986370,9335-2023-00153,1,False,9335,1/25/2023 12:50:00 AM,0050,024,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,Yes,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,D,DARK-NO STREET LIGHTS,37.767056,-122.395503,,,,,E,IN ROAD - INCLUDES SHOULDER,1/25/2023 12:50:00 AM,A,VC 21954(a),False,1,I-280 S/B,,,2/3/2023 2:12:58 PM,A,N,208,16TH ST UNDERCROSSING,F,,D,2/3/2023 2:13:00 PM,2/3/2023 2:13:00 PM,False,True,4,,1/25/2023 12:57:00 AM,0057,False,,,True
2026725,9335-2023-00267,1,False,9335,2/8/2023 9:50:00 PM,2150,014,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,Yes,False,F,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,37.769483,-122.415162,,,,,E,IN ROAD - INCLUDES SHOULDER,2/8/2023 9:50:00 PM,A,VC 21954(a),False,1,US 101 S/B,,,3/23/2023 7:33:06 AM,A,S,100,FOLSOM ST,F,,D,3/23/2023 7:33:07 AM,3/23/2023 7:33:07 AM,False,True,4,,2/8/2023 9:55:00 PM,2155,False,,,True
2035955,9335-2023-00659,1,False,9335,4/1/2023 6:55:00 PM,1855,022,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,Yes,False,,,False,True,True,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,37.706830,-122.470443,,,,,E,IN ROAD - INCLUDES SHOULDER,4/1/2023 6:55:00 PM,A,VC 21960(A),False,2,I-280 S/B,,,4/3/2023 3:09:58 PM,A,N,150,JUNIPERO SERRA BLVD,F,,D,4/3/2023 3:10:02 PM,4/3/2023 3:10:02 PM,False,True,4,,4/1/2023 6:57:00 PM,1857,True,AREA PHOTO FILE,,True
2060156,9335-2023-00833,1,False,9335,4/26/2023 11:35:00 AM,1135,081,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,,,False,True,True,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,C,OTHER MOTOR VEHICLE,,2,0,CLEAR,,CONSTRUCTION-REPAIR ZONE,,,A,DAYLIGHT,37.818099,-122.354184,,,,,E,IN ROAD - INCLUDES SHOULDER,4/26/2023 11:35:00 AM,A,VC 22107,False,1,I-80 W/B,,,5/3/2023 9:48:20 AM,A,W,1748,SAN FRANCISCO COUNTY LINE,F,,D,5/3/2023 9:48:23 AM,5/3/2023 9:48:23 AM,False,True,4,,4/26/2023 11:51:00 AM,1151,True,AREA / EMBEDDED,,True
2171778,9335-2023-01778,2,False,9335,9/11/2023 2:10:00 AM,0210,024,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,Yes,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,B,PEDESTRIAN,,0,1,CLEAR,,NO UNUSUAL CONDITIONS,,Fatal,D,DARK-NO STREET LIGHTS,37.767415,-122.396018,,,,,E,IN ROAD - INCLUDES SHOULDER,9/11/2023 2:10:00 AM,A,VC 21954(a),False,1,I-280 S/B,,,9/27/2023 8:28:15 AM,A,N,390,16TH STREET UNDERCROSSING,F,,D,9/16/2023 7:21:33 AM,9/27/2023 8:28:17 AM,False,True,4,,9/11/2023 2:17:00 AM,0217,True,AREA PHOTO FILE,True,False
2166467,9335-2023-01655,1,False,9335,8/23/2023 5:34:00 PM,1734,080,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,NotApplicable,False,M,,False,True,False,SAN FRANCISCO SUPERIOR COURT HALL OF JUSTICE,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,37.773117,-122.406644,,,,,E,IN ROAD - INCLUDES SHOULDER,8/23/2023 5:34:00 PM,A,VC 22107,False,1,I-80 E/B FROM 8TH STREET,,,9/10/2023 8:32:31 AM,A,E,90,BRYANT STREET,F,,D,9/10/2023 8:32:32 AM,9/10/2023 8:32:32 AM,False,True,4,,8/23/2023 5:50:00 PM,1750,True,AREA PHOTO FILE,,True
2186797,9335-2023-01794,1,False,9335,9/13/2023 11:40:00 AM,1140,013,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,Yes,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,37.733778,-122.411431,,,,,D,CROSSING - NOT IN CROSSWALK,9/13/2023 11:40:00 AM,A,VC 21954(A),False,1,US-101 N/B  TO I-280 S/B,,,9/30/2023 6:53:51 AM,A,N,1368,SAN BRUNO AVENUE UNDERCROSSING,F,,D,9/30/2023 6:53:54 AM,9/30/2023 6:53:54 AM,False,True,4,False,9/13/2023 11:45:00 AM,1145,False,,,True
2320660,9335-2023-02103,1,False,9335,10/23/2023 12:25:00 PM,1225,080,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,Yes,False,F,,False,True,False,SAN FRANCISCO SUPERIOR COURT CIVIC CENTER COURTHOUSE,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,37.778991,-122.401003,,,,,E,IN ROAD - INCLUDES SHOULDER,10/23/2023 12:25:00 PM,A,VC 22350,False,1,I-80 W/B,,,2/22/2024 1:29:11 PM,A,E,178,5TH STREET,F,,A,2/22/2024 1:29:21 PM,2/22/2024 1:29:21 PM,False,True,4,,10/23/2023 12:40:00 PM,1240,False,,,True
2487150,230474726,3,False,3801,7/7/2023 12:00:00 AM,2500,4C1,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,F,,False,False,False,,B,PEDESTRIAN,,0,1,CLOUDY,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,D,,,,S VAN NESS AV,TRAFF,,,A,N,6,18TH ST,F,,A,7/22/2024 5:08:36 PM,7/18/2025 9:37:26 AM,,,2,,,,,,,
2487149,230578817,2,False,3801,8/15/2023 5:15:00 PM,1715,4B104,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Tuesday,,,,,False,False,True,,B,PEDESTRIAN,,1,1,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,KING ST,TRAFF,,,A,S,12,4TH ST,F,,A,7/22/2024 5:08:36 PM,1/28/2025 1:26:38 PM,,,3,,,,,,,
