source_year,Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation,_id
2025,4693531,250188270,1,False,3801,2025-04-04T01:56:00,156,3G13E,1227,3801,San Francisco,38,True,True,A,HEAD-ON,,Friday,,,F,,False,False,True,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21950,,1,GEARY BL,RICHM,,,A,W,40,3RD AV,F,,D,2025-05-20T06:06:47,2025-05-20T06:06:47,,,2,,,,,,,,129708
2025,4693530,250187266,1,False,3801,2025-04-03T15:31:00,1531,3G12D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,BAKER ST,RICHM,,,A,S,4,POST ST,F,,D,2025-05-20T06:06:47,2025-05-20T06:06:47,,,2,,,,,,,,129709
2025,4710324,250177461,1,False,3801,2025-03-29T15:27:00,1527,3J60,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,22106,,1,ELLIS ST,TENDE,,,A,W,217,MASON ST,F,,D,2025-06-02T16:28:59,2025-06-02T16:28:59,,,2,,,,,,,,135494
2025,4728987,250261280,1,False,3801,2025-05-09T18:26:00,1826,3C15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,WALLACE AV,BAYVI,,,A,E,1,3RD ST,F,,A,2025-06-17T11:10:29,2025-06-17T11:10:29,,,2,,,,,,,,139935
2025,4727394,250260486,1,False,3801,2025-05-09T12:52:00,1252,6D,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,,,,A,21954A,,1,13TH ST,MISSI,,,A,W,15,11TH ST,F,,A,2025-06-16T11:45:23,2025-06-16T11:45:23,,,2,,,,,,,,141268
2025,4727195,250283472,1,False,3801,2025-05-21T07:29:00,729,1,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,,,,A,DAYLIGHT,37.764360,-122.458680,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22350,,1,IRVING ST,PARK,,,A,,,2ND AV,,,A,2025-06-16T10:20:22,2025-06-16T10:20:22,,,2,,,,,,,,141464
2025,4725085,250292752,1,False,3801,2025-05-25T17:32:00,1732,3G15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Sunday,,,,,False,False,False,,B,PEDESTRIAN,,2,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,C,CROSSING IN CROSS WALK - NOT AT INTERSECTION,,D,,,,FULTON ST,RICHM,,,A,,,10TH AV,,,A,2025-06-13T12:40:13,2025-06-13T12:40:13,,,2,,,,,,,,143103
2025,4725008,250272237,1,False,3801,2025-05-15T08:20:00,820,4B1C,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,2,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21456A,,1,BAYSHORE BL,TRAFF,,,A,S,3,BLANKEN AV,F,,A,2025-06-13T11:30:13,2025-06-13T11:30:13,,,2,,,,,,,,143180
2025,4724952,250291146,1,False,3801,2025-05-24T18:14:00,1814,4B104,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,31ST AV,TRAFF,,,A,S,5,CLEMENT ST,F,,D,2025-06-13T10:45:13,2025-06-13T10:45:13,,,2,,,,,,,,143229
2025,4724754,250235730,1,False,3801,2025-04-28T11:30:00,1130,3E13A,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Monday,,,F,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21658A,,1,GOUGH ST,NORTH,,,A,N,77,MCALLISTER ST,F,,A,2025-06-13T08:40:12,2025-06-13T08:40:12,,,2,,,,,,,,143425
