Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
4399093,240452734,2,False,3801,7/20/2024 6:11:00 AM,0611,1,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Saturday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21453A,,1,LEAVENWORTH ST,CENTR,,,A,,,BUSH ST,,,A,9/18/2024 10:46:17 AM,1/28/2025 11:50:02 AM,,,2,,,,,,,
4399079,240448448,2,False,3801,7/8/2024 11:45:00 AM,1145,3B00,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,OTHER,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,F,NOT IN ROAD,,A,21235G,,1,KEARNY ST,SOUTH,,,,,,KEARNY ST 125,,,,9/18/2024 10:41:17 AM,1/28/2025 11:50:01 AM,,,2,,,,,,,
4398747,240430445,2,False,3801,7/10/2024 4:19:00 PM,1619,3J15D,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21453D,,1,LARKIN ST,TENDE,,,A,,,OFARRELL ST,,,A,9/18/2024 8:36:15 AM,1/28/2025 11:51:44 AM,,,2,,,,,,,
4398601,240501911,2,False,3801,8/11/2024 2:53:00 PM,1453,6,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Sunday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,13TH ST,MISSI,,,A,,,ISIS ST,,,D,9/18/2024 7:41:14 AM,1/28/2025 11:50:00 AM,,,2,,,,,,,
4397747,240384999,2,False,3801,6/20/2024 10:49:00 AM,1049,3J13A,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,CLOUDY,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21954,,1,MCALLISTER ST,TENDE,,,A,E,242,LARKIN ST,F,,A,9/17/2024 1:46:09 PM,1/28/2025 11:31:33 AM,,,2,,,,,,,
4397403,240411586,2,False,3801,7/2/2024 9:37:00 AM,0937,D2,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Tuesday,,,,,False,False,True,,E,PARKED MOTOR VEHICLE,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,F,NOT IN ROAD,,A,22107,,1,DIAMOND HEIGHTS BL,MISSI,,,A,S,51,SAFIRA LN,F,,D,9/17/2024 12:01:06 PM,1/28/2025 11:47:03 AM,,,2,,,,,,,
4395494,240379332,2,False,3801,6/17/2024 9:30:00 PM,2130,4B4C,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Monday,,,,,False,False,True,,B,PEDESTRIAN,,0,1,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,TOLAND ST,TRAFF,,,A,W,5,JERROLD AV,F,,A,9/16/2024 11:05:57 AM,1/28/2025 11:03:15 AM,,,2,,,,,,,
4393598,240449797,2,False,3801,7/18/2024 10:01:00 PM,2201,3J14E,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Thursday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21456A,,,HYDE ST,TENDE,,,A,,,FULTON ST,,,D,9/13/2024 12:55:44 PM,1/28/2025 11:45:57 AM,,,2,,,,,,,
4393019,240430019,2,False,3801,7/10/2024 2:15:00 PM,1415,3D5C,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,21954A,,1,MISSION ST,MISSI,,,A,N,44,SYCAMORE ST,F,,D,9/13/2024 8:39:09 AM,1/28/2025 11:45:58 AM,,,2,,,,,,,
4412668,240528090,2,False,3801,8/23/2024 8:40:00 AM,0840,,1227,3801,San Francisco,38,True,True,A,HEAD-ON,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,B,DUSK-DAWN,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,21954,,1,OFARRELL ST,TENDE,,,A,W,60,TAYLOR ST,F,,D,9/30/2024 9:54:39 AM,1/28/2025 11:50:01 AM,,,2,,,,,,,
