Year,CollisionId,Address,PrimaryRoad,SecondaryRoad,Latitude,Longitude,CrashDateTime
2021,2736480,VALENCIA ST & 15TH ST,VALENCIA ST,15TH ST,,,2/13/2021 6:42:00 PM
2021,2736481,CLEMENT ST & 25TH AV,CLEMENT ST,25TH AV,,,2/13/2021 3:31:00 PM
2021,2736484,FOLSOM ST & 21ST ST,FOLSOM ST,21ST ST,,,2/13/2021 12:30:00 PM
2021,2736485,5TH ST & HARRISON ST,5TH ST,HARRISON ST,,,2/12/2021 11:52:00 PM
2021,2736977,MISSION ST & 14TH ST,MISSION ST,14TH ST,,,2/28/2021 3:52:00 PM
2021,2736979,EDDY ST & HYDE ST,EDDY ST,HYDE ST,,,2/25/2021 6:00:00 AM
2021,2736999,LARKIN ST & WILLOW ST,LARKIN ST,WILLOW ST,,,2/18/2021 6:31:00 AM
2021,2737001,FREDERICK ST & STANYAN ST,FREDERICK ST,STANYAN ST,,,2/18/2021 5:39:00 AM
2021,2737010,CALIFORNIA ST & SCOTT ST,CALIFORNIA ST,SCOTT ST,,,2/21/2021 3:44:00 PM
2021,2737011,JUNIPERO SERRA BL & OCEAN AV,JUNIPERO SERRA BL,OCEAN AV,,,2/21/2021 3:10:00 PM
2021,2737015,SUTTER ST & LARKIN ST,SUTTER ST,LARKIN ST,,,2/23/2021 2:06:00 PM
2021,2737016,MARKET ST & SANCHEZ ST,MARKET ST,SANCHEZ ST,,,2/23/2021 1:04:00 PM
2021,2737017,MARKET ST & 9TH ST,MARKET ST,9TH ST,,,2/21/2021 5:10:00 PM
2021,2737019,FREMONT ST & FOLSOM ST,FREMONT ST,FOLSOM ST,,,2/22/2021 7:25:00 PM
2021,2737023,JOHN F KENNEDY JR DR & CONSERVATORY DR W,JOHN F KENNEDY JR DR,CONSERVATORY DR W,,,2/21/2021 3:05:00 PM
2021,2737024,N POINT ST & MASON ST,N POINT ST,MASON ST,,,2/22/2021 11:30:00 AM
2021,2737041,JOHN F KENNEDY DR & STOW LAKE DR,JOHN F KENNEDY DR,STOW LAKE DR,,,2/6/2021 10:21:00 AM
2021,2737086,SAN BRUNO AV & DIVISION ST,SAN BRUNO AV,DIVISION ST,,,2/5/2021 5:03:00 PM
2021,2737096,BUSH ST & VAN NESS AV,BUSH ST,VAN NESS AV,,,2/21/2021 12:00:00 PM
2021,2738276,SAN JOSE AV & COLONIAL WY,SAN JOSE AV,COLONIAL WY,,,1/12/2021 3:35:00 PM
2021,2745429,THE EMBARCADERO & WASHINGTON ST,THE EMBARCADERO,WASHINGTON ST,,,3/25/2021 7:22:00 PM
2021,2745432,LAGUNA ST & UNION ST,LAGUNA ST,UNION ST,,,3/14/2021 1:30:00 PM
2021,2745441,IRVING ST & 20TH AV,IRVING ST,20TH AV,,,3/13/2021 5:14:00 PM
2021,2745443,34TH AV & BALBOA ST,34TH AV,BALBOA ST,,,3/13/2021 5:03:00 PM
2021,2745446,HAIGHT ST & OCTAVIA ST,HAIGHT ST,OCTAVIA ST,,,3/10/2021 10:05:00 PM
2021,2745453,MARKET ST & OCTAVIA ST,MARKET ST,OCTAVIA ST,,,3/2/2021 3:35:00 PM
2021,2745462,LAGUNA ST & UNION ST,LAGUNA ST,UNION ST,,,3/6/2021 9:15:00 AM
2021,2745465,DIVISADERO ST & OAK ST,DIVISADERO ST,OAK ST,,,3/4/2021 7:30:00 AM
2021,2745529,MARKET ST & GOUGH ST,MARKET ST,GOUGH ST,,,3/3/2021 6:52:00 AM
2021,2746498,LOMBARD ST & SCOTT ST,LOMBARD ST,SCOTT ST,,,3/21/2021 9:30:00 PM
2021,2752184,6TH AV & ANZA ST,6TH AV,ANZA ST,,,3/3/2021 9:04:00 PM
2021,2752519,MARKET ST & CASTRO ST,MARKET ST,CASTRO ST,,,3/6/2021 1:45:00 PM
2021,2752527,MARTIN LUTHER KING JR DR & LINCOLN WY,MARTIN LUTHER KING JR DR,LINCOLN WY,,,3/6/2021 10:06:00 AM
2021,2752530,18TH ST & 18TH ST 3638,18TH ST,18TH ST 3638,,,3/12/2021 8:17:00 PM
2021,2752531,OCEAN AV & OCEAN AV 1936,OCEAN AV,OCEAN AV 1936,,,3/12/2021 4:22:00 PM
2021,2752534,BARTLETT ST & 24TH ST,BARTLETT ST,24TH ST,,,3/11/2021 12:16:00 PM
2021,2756694,VAN NESS AV & FRANCISCO ST,VAN NESS AV,FRANCISCO ST,,,3/19/2021 2:52:00 PM
2021,2756711,17TH ST & VERMONT ST,17TH ST,VERMONT ST,,,3/14/2021 2:00:00 PM
2021,2756714,WALLER ST & STEINER ST,WALLER ST,STEINER ST,,,3/11/2021 8:38:00 AM
2021,2756718,CABRILLO ST & PARK PRESIDIO BL,CABRILLO ST,PARK PRESIDIO BL,,,3/31/2021 5:00:00 PM
2021,2756721,TURK BL & STANYAN ST,TURK BL,STANYAN ST,,,3/30/2021 6:50:00 AM
2021,2757122,CHESTNUT ST & FRAKLIN ST,CHESTNUT ST,FRAKLIN ST,,,3/5/2021 9:30:00 AM
2021,2757195,SANCHEZ ST & 14TH,SANCHEZ ST,14TH ,,,3/30/2021 9:55:00 AM
2021,2757196,ALABAMA ST & 18TH ST,ALABAMA ST,18TH ST,,,3/30/2021 7:00:00 PM
2021,2757201,MISSISSIPPI ST & 16TH ST,MISSISSIPPI ST,16TH ST ,,,3/5/2021 5:37:00 PM
2021,2757205,BRODERICK ST & CLAY ST,BRODERICK ST,CLAY ST,,,3/28/2021 10:47:00 AM
2021,2757420,MISSION ST & GENEVA AV,MISSION ST,GENEVA AV,,,3/17/2021 2:55:00 PM
2021,2757425,OCEAN AV & HAROLD ST,OCEAN AV,HAROLD ST,,,3/26/2021 6:50:00 PM
2021,2757429,ASHTON AV & OCEAN AV,ASHTON AV,OCEAN AV,,,3/25/2021 4:20:00 PM
2021,2757431,MARKET ST & VAN NESS AV,MARKET ST,VAN NESS AV,,,3/25/2021 1:20:00 PM
2021,2757433,FRANKLIN ST & AUSTIN ST,FRANKLIN ST,AUSTIN ST,,,3/25/2021 7:20:00 AM
2021,2757555,3RD ST & 16TH ST,3RD ST,16TH ST,,,3/21/2021 11:00:00 PM
2021,2757574,PACIFIC ST & KEARNY ST,PACIFIC ST,KEARNY ST,,,3/23/2021 12:00:00 AM
2021,2757575,2ND ST & MISSION ST,2ND ST,MISSION ST,,,3/24/2021 8:06:00 AM
2021,2757582,KEZAR DR & JOHN F KENNEDY DR,KEZAR DR,JOHN F KENNEDY DR,,,3/8/2021 6:21:00 PM
2021,2757588,VAN DYKE AV & INGALLS ST,VAN DYKE AV,INGALLS ST,,,3/23/2021 6:14:00 PM
2021,2757591,MCALLISTER ST & LAGUNA ST,MCALLISTER ST,LAGUNA ST,,,3/30/2021 11:58:00 AM
2021,2760558,EDNA ST & JUDSON AV,EDNA ST,JUDSON AV,,,4/1/2021 5:10:00 PM
2021,2760561,4TH ST & CHINA BASIN ST,4TH ST,CHINA BASIN ST,,,4/7/2021 11:20:00 AM
2021,2760818,GEARY ST & STOCKTON ST,GEARY ST,STOCKTON ST,,,4/2/2021 12:50:00 PM
2021,2765701,MARKET ST & 9TH ST,MARKET ST,9TH ST,,,4/19/2021 3:58:00 PM
2021,2765824,THE EMBARCADERO NORTH & PIER 28,THE EMBARCADERO NORTH,PIER 28,,,4/10/2021 6:28:00 PM
2021,2765887,17TH ST & BRYANT ST,17TH ST,BRYANT ST,,,4/28/2021 4:54:00 PM
2021,2765896,POLK ST & EDDY ST,POLK ST,EDDY ST,,,4/18/2021 6:29:00 PM
2021,2765897,9TH AV & IRVING ST,9TH AV,IRVING ST,,,4/18/2021 1:08:00 PM
2021,2765919,CASTRO ST & STATES ST,CASTRO ST,STATES ST,,,4/27/2021 6:03:00 PM
2021,2765937,BAY ST & TAYLOR ST,BAY ST,TAYLOR ST,,,4/22/2021 10:19:00 AM
2021,2765944,EMBARCADERO NORTH & BRADFORD ST,EMBARCADERO NORTH,BRADFORD ST,,,4/2/2021 5:28:00 PM
2021,2765948,BUSH ST & GRANT AV,BUSH ST,GRANT AV,,,4/16/2021 12:50:00 PM
2021,2765959,1ST ST & GREENWICH,1ST ST,GREENWICH,,,4/23/2021 11:08:00 AM
2021,2765962,ARGUELLO BL & TURK ST,ARGUELLO BL,TURK ST,,,4/12/2021 10:00:00 AM
2021,2765984,17TH AV & 17TH AV  1467,17TH AV,17TH AV  1467,,,4/19/2021 3:12:00 PM
2021,2765986,THE EMBARCADERO NORTH & WASHINGTON ST,THE EMBARCADERO NORTH,WASHINGTON ST,,,4/17/2021 12:04:00 PM
2021,2765990,7TH ST & KING ST,7TH ST,KING ST,,,4/21/2021 6:20:00 PM
2021,2766004,POINT LOBOS AV & JUNIPERO SERRA BL,POINT LOBOS AV,JUNIPERO SERRA BL,,,4/1/2021 9:40:00 PM
2021,2766044,FELL ST & MASONIC ST,FELL ST,MASONIC ST ,,,4/29/2021 4:40:00 PM
2021,2766045,GREENWHICH ST & PIERCE ST,GREENWHICH ST,PIERCE ST,,,4/1/2021 9:10:00 PM
2021,2766116,LINCOLN WY & 30TH AV,LINCOLN WY, 30TH AV,,,4/1/2021 8:18:00 PM
2021,2766117,SANCHEZ ST & 14TH ST,SANCHEZ ST,14TH ST,,,4/6/2021 6:23:00 PM
2021,2776168,PACIFIC AV & PIERCE ST,PACIFIC AV,PIERCE ST,,,5/14/2021 9:27:00 PM
2021,2776240,LEAVENWORTH ST & EDDY ST,LEAVENWORTH ST,EDDY ST,,,5/3/2021 2:30:00 PM
2021,2776263,DOLORES ST & 19TH ST,DOLORES ST,19TH ST,,,5/7/2021 1:12:00 PM
